Timestamp,Thread,LockType,Method,Action,Value
2025-05-06T16:42:25.525064200Z,main,WRITE,add,treeLock released,7
2025-05-06T16:42:25.526063500Z,main,WRITE,add,trying,12
2025-05-06T16:42:25.526063500Z,main,WRITE,add,treeLock acquired,12
2025-05-06T16:42:25.527063700Z,main,WRITE,add,treeLock released,12
2025-05-06T16:42:25.528064400Z,main,WRITE,add,trying,20
2025-05-06T16:42:25.528064400Z,main,WRITE,add,treeLock acquired,20
2025-05-06T16:42:25.529064100Z,main,WRITE,add,treeLock released,20
2025-05-06T16:42:25.530064700Z,main,READ,printInOrder,trying,-
2025-05-06T16:42:25.531064600Z,main,READ,printInOrder,acquired,-
2025-05-06T16:42:25.545065100Z,main,READ,printInOrder,released,-
2025-05-06T16:42:25.546063900Z,main,READ,checkRep,trying,-
2025-05-06T16:42:25.547063900Z,main,READ,checkRep,acquired,-
2025-05-06T16:42:25.549064100Z,main,READ,checkRep,released,-
2025-05-06T16:42:25.550063800Z,main,READ,contains,trying,7
2025-05-06T16:42:25.551063500Z,main,READ,contains,treeLock acquired,7
2025-05-06T16:42:25.552063700Z,main,READ,contains,treeLock released,7
2025-05-06T16:42:25.554070Z,main,READ,contains,trying,13
2025-05-06T16:42:25.555070100Z,main,READ,contains,treeLock acquired,13
2025-05-06T16:42:25.556069600Z,main,READ,contains,treeLock released,13
2025-05-06T16:42:25.557069400Z,main,WRITE,remove,trying,10
2025-05-06T16:42:25.558070Z,main,WRITE,remove,acquired,10
2025-05-06T16:42:25.559070400Z,main,WRITE,remove,released,10
2025-05-06T16:42:25.560069600Z,main,READ,printInOrder,trying,-
2025-05-06T16:42:25.561070900Z,main,READ,printInOrder,acquired,-
2025-05-06T16:42:25.564069900Z,main,READ,printInOrder,released,-
2025-05-06T16:42:25.566069300Z,main,READ,checkRep,trying,-
2025-05-06T16:42:25.566069300Z,main,READ,checkRep,acquired,-
2025-05-06T16:42:25.568583400Z,main,READ,checkRep,released,-
2025-05-06T16:42:25.570584Z,main,READ,contains,trying,10
